pg_id,q_num,topic,ffvalue,q_id,r_id,debate_id,source,triple_id,q_text,r_text
1,1,death penalty,3.4,70327,70328,3375,4F,-1,I don't know what exactly to think of it only I think it saves us the cost of prisons!,"No it doesn't!
 
 It cost way more money in appeals than it does to excute someone. WE the taxpayers pay for legal represenatation for them and us, plus the cost of keeping them in jail. The appelas process alone costs the tax payers millions.
 It is far more expensive to kill them than to leave them in jail with no chance of parole."
1,2,gay marriage,-5,273042,273045,10106,4F,-1,"Did anyone else expect anything less? These evil fundie christianists can have affairs, 2, 3, 4, or even 5 marriages yet gay people are a threat to marriage by wanting to get married.",You hear that cry...allowing gays to marry will cause the downfall of civilization...but you never hear 'how' or 'why'? More Chicken Little ####.
1,3,climate change,4,340797,340888,12233,4F,-1,"This is where the looney left gets lost. Their mantra is atmospheric CO2 levels are escalating and this is unquestionably causing earth's temperature rise. But ask yourself -- if global temperatures are experiencing the biggest sustained drop in decades, while CO2 levels continue to rise -- how can it be true?","Because internal variability from the likes of ENSO, which can cause short term swings of a full degree C, easily swamp the smaller increase we'd expect from CO2 forcing. Easy."
1,4,abortion,-4.4,106611,106656,4804,4F,-1,"Undesired first pregnancy is an acute problem for many girls who choose to go under the surgical knife, even though that often ends up with infertility, broken life etc. Dry fasting is an alternative to first pregnancy abortion. If applied, up to 2-3 months old embryo gets dissolved after 15-16 days of the fast. Plus, there is no 'christian' sin.
 
 Vitalij",No Christian sin??? Other then the intent to kill and then doing so:p
1,5,evolution,5,74947,75019,6078,123,3569,"1. Carbon dating is not accurate.
2. Do a search on google and you'll find the information pertaining to the universities in question.
3. ""Natural selection"" is not a ""force"" behind evolution.
You do not have to believe in creationism, however, trying to convince people that your opinions are correct when they're based upon an unfounded theory is ludicrous!
You can theorise all you want but, in the end, it is all pure speculation.
As for the exact age of the earth being recorded in the bible, that's not true. The bible has recorded and predicted many events. Those who read it try to work out how old the earth is. But no where does it give an exact age - that is mere speculation, too.
http://www.answersingenesis.org/docs...bon_dating.asp
","A statement based on ignorance. Carbon dating is quite accurate. Some years ago it was accurately calibrated back about 11,000 years using dendrochronology. Prior to 11,000 years the error bars on dates became larger and larger. However, in 1998 carbon dating was calibrated back to about 45,000 years, essentially the entire useful life of the technique.
Here's how it was done. Sediment cores from the bottom of Lake Suigetsu in Japan were taken. The bottom of this lake is characterized by alternating light and dark layers - these are known as varves and one light and one dark layer is deposited each year, depending on the season. You see, the light layer is caused by the annual algae bloom. As the algae die, they settle on the bottom and form the light layer. The dark layer is made up of clay that settles as silt on the bottom during the winter. That this is true is a matter of observation - the varves are still being deposited each year and there is no discontinuity in the core that indicates that it has been otherwise in the past.
At any rate, the varves were carefully counted back to about 45,000 years ago. Samples of known age were carbon dated. Thus, by comparing the apparent age of a carbon dated sample to the actual age counted from the varves, the technique of carbon dating was calibrated for essentially its whole useful range.
You were aware, weren't you, that radio-carbon can only be detected for about 50,000 years? With more sensative instrumentation it has been detected in samples thought to be about 70,000 years old, but it isn't useful for age dating.
I don't understand why it is that if carbon dating were not useful it would matter to evolutionary theory. Does this mean that the carbon dating used by archaeologists to date artifacts in the Holy Land are wrong? Does this mean that the Dead Sea Scrolls aren't about 2,000 years old? If carbon dating is unreliable, I don't understand why Biblical scholars would make such extensive use of in in attempting to support the Bible.
I'm unclear what you are talking about.
Not sure what you mean. Natural selection is one of several mechanisms of evolution. Evolution is a change in the genetic makeup of a population of organisms over generations. Natural selection tends to decrease genetic diversity - thus changing the relative frequencies of genetic characteristics. There are othere mechanisms that also tend to decrease genetic diversity, and, of course, there are mechanisms that tend to increase it.
Those who refer to scientific theory as unfounded only make themselves look ignorant. In science, the word theory means that it has been tested. For example, there is the theory that the earth is a sphere. There is the theory that the planets orbit the sun. There is the theory that matter is made up of atoms and that the atoms are made up of protons, neutrons and electrons. There is the theory that by striking certain isotopes of uranium with high energy neutrons that the nucleus will split and release energy.
It seems strange to hear someone claim that it is speculation that the sun is at the center of the solar system. I guess it is also speculation that germs cause disease. It seems funny that ships of the Navy would put nuclear reactors in ships based on mere speculation that they can get power out of them, or speculation that they won't explode.
"
2,1,death penalty,3.8,242140,242244,7033,4F,-1,"I'm sure there have been more repeat murderers than innocent people put to death. As far as the cost goes, is that really an issue? 
 
 Execution Room = $10,000
 
 Stainless Steel Table = $2,000
 
 Leather Straps = $200
 
 Lethal Injection Chemicals = $5,000
 
 Knowing this person will never possibly be able to kill again = 
 
 PRICELESS","Actually the room, straps, and table are all multi-use. And the drugs only cost Texas $86.08 per execution as of 2002."
2,2,gay marriage,-4,333289,333313,11986,4F,-1,"and the nutty professor from UC San Diego Simon LeVay who's myopic bent to show... and who's grant was provided to show that there was a genetic cause, failed miserably in doing so. His findings were inconclusive... biased and his study groups and samples were doctored.","You have this habit of making sweeping claims with little to no substantiation.
 And even if we were to completely ignore LeVay altogether, there is MOUNDS of other evidence showing a genetic cause.
 Like I keep pointing out, but nobody on your side of the fence seems to realize, NARTH's OWN CITED REFERENCES say there is a genetic cause!"
2,3,climate change,3.2,11112,43462,390,4F,-1,"Global warming sure is a threat. Some of the Polar Ice Caps already melted. Average temperatures have rised since 50+ years ago at a constant rate. We better stop polluting now, or we will be in big trouble.","The Polar Icecaps have been melting for the past 14,000 years according to experts. Many in the scientific community believe that it would be another 100-1000 years before the melting of Polar Ice becomes a factor in the rise of sea level. What they belie"
2,4,abortion,-4.2,299873,299876,10837,4F,-1,"Steve - its not about qualifications - its about impact. Women are the ones who get pregnant, we should have more authority in the matter.","F--k'in A! right! I don't want some damn MAN deciding what's going to be legal for my body. They have NO experience with the female anatomy except what they manage to bag, they shouldn't be allowed to decide for us.
 
 They have no idea what pregnancy is like, the damage it does to our bodies and our minds, and they don't have to pay to support a child that we were forced to accept at knifepoint.
 
 Where is the logic is violating women a second time? Where's the justification for it? Doesn't the life of the unintended mother account for anything at all?
 
 Do you men have any idea of the dangerous precdent you'd be setting up with a total ban on abortion? Women who have been raped and essentially told 'You WILL have this child, you WILL carry it to term, or you WILL go to prison!' would likely commit suicide as a result, meaning that TWO lives are gonna be lost."
2,5,evolution,4.6,15221,15254,4569,123,5306,"What is evolution?
This is quite a funny post! Such a vacuous attempt at a sales pitch... let's all get comfy with evolution!
""A theory is a good theory when there is no evidence to disprove the theory and the theory makes good and useful predictions. Evolution does this.""
""What are the predictions made by evolution.""
Well, we can find oil (!) and test cosmetics on animals (!) I wasn't sure if this was meant to be funny or not. Did they not find oil before evolution? Would they not be able to tell that oil exists next to certain rocks without evolution? Why bring in animal testing? If you want to stake a claim that such cruel behaviour is part of evolution, hey, that's up to you (takes a bit of heat off us Christians over the Crusades!) (ha!)
""First and most important was when the theory was in it?s infancy, it was predicted that a mechanism would be found that would pass along characteristics from generation to generation. It took at least a hundred years but sure enough DNA and genes were found. One of the hottest areas in science is genetics with hundreds of millions of dollars being invested This along with many other predictions makes evolution a good theory""
Really, you've hit the jackpot with this one, because www.talkorigins.com claims that the 'mechanism' is still unknown... at least how the 'mechanism' works to produce macroevolution. Perhaps you should write to them!
""An acquaintance who was an oil company geologist made this statement. ?Oil companies spend millions on evolutionary geologists to find oil and not one cent on creationist geologists. Again, predictions that make evolution a good theory.""
Yes, that is an amazing statement folks. The oil companies actively weed-out geologists who are creationists, because they've been looking for oil in all the wrong places (!) (at least that's what I assume this quote means).
""Where is evolution used outside of Biology, Geology, Anatomy, Biochemistry, Embryology, and Genetics""
That's right, many of these sciences didn't exist before evolution (certainly not the first three!) (Ouch!)
""Evolutionary algorithms have been used for a number of years to design computer programs. One of the latest developments is designing electronic circuits using evolution. What is done is to start with a random design and create a population of these circuits. For the next generation, a random variation is introduced in a small subset of the population. Those that were most suitable for the job were selected and mated with some of the unmutated circuits. The next generation was still not near desired result but the process but the process continued. Each generation is closer to the desired result. After 5000 generations a working circuit was developed that even the designers did not understand how it worked. some of these circuit have received patents. You can read more about this at http://www.genetic-programming.com. As you can see the theory of evolution works in fields outside its primary field, this makes this a great theory.""
Can I restate this again... 'designing electronic circuits' ... design implies intelligence. And look, after 5000 generations we get what? A cyborg super-intelligence? Nope!
""The next time you hear someone say, ""When you see a computer (any manufactured item) you know it was designed"", you can now say it may have been designed using evolution.""
Yes, I can say that. I'll do that tomorrow at work! (ha!)
But seriously, evolution is a theory of explaining an apparent change in animals. It is not the change in animals... because that has not been proven!
","Actually, no they could not find oil without evolution. It's not only a matter of finding ""certain rocks"" associated with oil, but by reconstructing the paleo-environment. Only certain environments, indicated by types of rocks and the types of animals/plants that existed at that time, are suitable for the production of petroleum.
In fact, a lot of mineral resources are located by certain geologic formations as interpreted by modern theories of geology. Without a knowledge of biological and geological evolution prospectors would waste a lot of time looking in the wrong places.
"
