c_raw,change_mean,before_znorm,after_mean,page_qnum,topic,n_bin,e_bin,change_raw,n_znorm,a_raw,ffvalue,o_znorm,before_bin,c_znorm,WorkerId,before_mean,c_bin,o_bin,entrenched,before_raw,n_raw,e_raw,a_bin,e_znorm,change_bin,change_znorm,o_raw,a_znorm
5,0.2075,0.410514659,3.0585,1_1,deathpenalty,middle,middle,0.65,0.385488319,6,3.4,-0.179756964,middle,-0.57430683,567,3.266,middle,middle,FALSE,3.77,5.5,5.5,middle,0.765727826,middle,0.642663227,5.5,0.50896343
4.5,0.2075,0.483820848,3.0585,1_1,deathpenalty,middle,middle,0.03,-0.352911841,4,3.4,-1.13846077,middle,-1.003459186,270,3.266,low,low,FALSE,3.86,4.5,4.5,low,0.027153469,middle,-0.257791464,4.5,-1.082278558
2.5,0.2075,-0.925287009,3.0585,1_1,deathpenalty,low,middle,0.22,-1.091312001,3.5,3.4,-1.13846077,middle,-2.720068611,96,3.266,low,low,FALSE,2.13,3.5,5,low,0.396440648,middle,0.018154328,4.5,-1.480089055
6,0.2075,0.915512851,3.0585,1_1,deathpenalty,middle,middle,-0.47,-0.722111921,5.5,3.4,-1.13846077,middle,0.283997883,84,3.266,middle,low,FALSE,4.39,4,3.5,middle,-0.711420888,middle,-0.983964601,4.5,0.111152933
4,0.2075,0.964383644,3.0585,1_1,deathpenalty,middle,middle,0.08,-0.722111921,5.5,3.4,1.258298746,middle,-1.432611542,490,3.266,low,high,FALSE,4.45,4,3.5,middle,-0.711420888,middle,-0.18517415,7,0.111152933
7,0.2075,-1.84568694,3.0585,1_1,deathpenalty,middle,middle,0,-0.722111921,7,3.4,1.258298746,low,1.142302595,93,3.266,high,high,TRUE,1,4,5,high,0.396440648,middle,-0.301361852,7,1.304584424
4,0.2075,0.166160695,3.0585,1_1,deathpenalty,middle,middle,-0.11,0.385488319,4,3.4,-0.659108867,middle,-1.432611542,625,3.266,low,middle,FALSE,3.47,5.5,4,low,-0.34213371,middle,-0.461119942,5,-1.082278558
6.5,0.2075,-1.283672823,3.0585,1_1,deathpenalty,low,low,-0.11,-1.091312001,3.5,3.4,-0.659108867,low,0.713150239,374,3.266,middle,middle,FALSE,1.69,3.5,2,low,-1.819282424,middle,-0.461119942,5,-1.480089055
7,0.2075,-0.452869346,3.0585,1_1,deathpenalty,high,high,0.01,1.493088559,7,3.4,1.258298746,middle,1.142302595,691,3.266,high,high,FALSE,2.71,7,7,high,1.873589362,middle,-0.286838389,7,1.304584424
5,0.2075,1.168011947,3.0585,1_1,deathpenalty,middle,low,0.99,0.754688399,5.5,3.4,-0.179756964,high,-0.57430683,346,3.266,middle,middle,TRUE,4.7,6,2,middle,-1.819282424,high,1.13646096,5.5,0.111152933
4,0.2075,0.45124032,3.0585,1_1,deathpenalty,middle,middle,-0.24,-0.352911841,5.5,3.4,-0.659108867,middle,-1.432611542,105,3.266,low,middle,FALSE,3.82,4.5,4,middle,-0.34213371,middle,-0.649924958,5,0.111152933
5.5,0.2075,-0.004887079,3.0585,1_1,deathpenalty,middle,middle,0.04,0.385488319,6,3.4,0.299594939,middle,-0.145154473,305,3.266,middle,middle,FALSE,3.26,5.5,4.5,middle,0.027153469,middle,-0.243268001,6,0.50896343
7,0.2075,0.443095188,3.0585,1_1,deathpenalty,high,low,0.71,1.493088559,7,3.4,0.778946843,middle,1.142302595,161,3.266,high,middle,FALSE,3.81,7,3,high,-1.080708067,middle,0.729804003,6.5,1.304584424
6,0.2075,-1.756090486,3.0585,1_1,deathpenalty,high,high,0.04,1.123888479,7,3.4,1.258298746,low,0.283997883,603,3.266,middle,high,TRUE,1.11,6.5,6,high,1.135015005,middle,-0.243268001,7,1.304584424
4,0.2075,0.972528776,3.0585,1_1,deathpenalty,middle,middle,-0.37,0.754688399,4.5,3.4,1.258298746,middle,-1.432611542,306,3.266,low,high,FALSE,4.46,6,5,middle,0.396440648,middle,-0.838729974,7,-0.684468061
6.5,0.2075,-1.642058636,3.0585,1_1,deathpenalty,middle,middle,0.14,0.754688399,6,3.4,1.258298746,low,0.713150239,147,3.266,middle,high,TRUE,1.25,6,3.5,middle,-0.711420888,middle,-0.098033374,7,0.50896343
7,0.2075,1.184302211,3.0585,1_1,deathpenalty,high,middle,2.8,1.493088559,6.5,3.4,0.778946843,high,1.142302595,407,3.266,high,middle,TRUE,4.72,7,3.5,middle,-0.711420888,high,3.765207718,6.5,0.906773927
7,0.2075,1.265753532,3.0585,1_1,deathpenalty,high,middle,0.1,1.493088559,5.5,3.4,-0.659108867,high,1.142302595,348,3.266,high,middle,TRUE,4.82,7,4,middle,-0.34213371,middle,-0.156127225,5,0.111152933
5.5,0.2075,-0.42843395,3.0585,1_1,deathpenalty,middle,high,-0.22,-0.352911841,4,3.4,-0.179756964,middle,-0.145154473,579,3.266,middle,middle,FALSE,2.74,4.5,6,low,1.135015005,middle,-0.620878032,5.5,-1.082278558
5,0.2075,-0.086338401,3.0585,1_1,deathpenalty,middle,low,-0.14,-0.722111921,7,3.4,-0.179756964,middle,-0.57430683,74,3.266,middle,middle,FALSE,3.16,4,1.5,high,-2.188569603,middle,-0.504690331,5.5,1.304584424
5,-0.2755,-1.030301264,2.8835,1_2,gaymarriage,middle,middle,-0.18,0.385488319,6,-5,-0.179756964,low,-0.57430683,567,2.608,middle,middle,TRUE,1.39,5.5,5.5,middle,0.765727826,middle,0.177961545,5.5,0.50896343
4.5,-0.2755,-0.065979884,2.8835,1_2,gaymarriage,middle,middle,0,-0.352911841,4,-5,-1.13846077,middle,-1.003459186,270,2.608,low,low,FALSE,2.53,4.5,4.5,low,0.027153469,middle,0.513386446,4.5,-1.082278558
2.5,-0.2755,-0.387420344,2.8835,1_2,gaymarriage,low,middle,0,-1.091312001,3.5,-5,-1.13846077,middle,-2.720068611,96,2.608,low,low,FALSE,2.15,3.5,5,low,0.396440648,middle,0.513386446,4.5,-1.480089055
6,-0.2755,-0.649648088,2.8835,1_2,gaymarriage,middle,middle,-1.48,-0.722111921,5.5,-5,-1.13846077,middle,0.283997883,84,2.608,middle,low,FALSE,1.84,4,3.5,middle,-0.711420888,low,-2.244551629,4.5,0.111152933
4,-0.2755,-1.284070048,2.8835,1_2,gaymarriage,middle,middle,0.04,-0.722111921,5.5,-5,1.258298746,low,-1.432611542,490,2.608,low,high,TRUE,1.09,4,3.5,middle,-0.711420888,middle,0.587925312,7,0.111152933
7,-0.2755,-0.404338263,2.8835,1_2,gaymarriage,middle,middle,-0.27,-0.722111921,7,-5,1.258298746,middle,1.142302595,93,2.608,high,high,FALSE,2.13,4,5,high,0.396440648,middle,0.010249094,7,1.304584424
4,-0.2755,0.771457104,2.8835,1_2,gaymarriage,middle,middle,0.14,0.385488319,4,-5,-0.659108867,middle,-1.432611542,625,2.608,low,middle,FALSE,3.52,5.5,4,low,-0.34213371,middle,0.77427248,5,-1.082278558
6.5,-0.2755,-0.404338263,2.8835,1_2,gaymarriage,low,low,-0.33,-1.091312001,3.5,-5,-0.659108867,middle,0.713150239,374,2.608,middle,middle,FALSE,2.13,3.5,2,low,-1.819282424,middle,-0.101559206,5,-1.480089055
7,-0.2755,0.568442077,2.8835,1_2,gaymarriage,high,high,0.01,1.493088559,7,-5,1.258298746,middle,1.142302595,691,2.608,high,high,FALSE,3.28,7,7,high,1.873589362,middle,0.532021162,7,1.304584424
5,-0.2755,1.752696403,2.8835,1_2,gaymarriage,middle,low,-0.18,0.754688399,5.5,-5,-0.179756964,high,-0.57430683,346,2.608,middle,middle,TRUE,4.68,6,2,middle,-1.819282424,middle,0.177961545,5.5,0.111152933
4,-0.2755,-1.047219183,2.8835,1_2,gaymarriage,middle,middle,0.04,-0.352911841,5.5,-5,-0.659108867,low,-1.432611542,105,2.608,low,middle,TRUE,1.37,4.5,4,middle,-0.34213371,middle,0.587925312,5,0.111152933
5.5,-0.2755,0.390803928,2.8835,1_2,gaymarriage,middle,middle,-0.18,0.385488319,6,-5,0.299594939,middle,-0.145154473,305,2.608,middle,middle,FALSE,3.07,5.5,4.5,middle,0.027153469,middle,0.177961545,6,0.50896343
7,-0.2755,-0.159028438,2.8835,1_2,gaymarriage,high,low,0.51,1.493088559,7,-5,0.778946843,middle,1.142302595,161,2.608,high,middle,FALSE,2.42,7,3,high,-1.080708067,high,1.463756998,6.5,1.304584424
6,-0.2755,-1.275611088,2.8835,1_2,gaymarriage,high,high,-0.79,1.123888479,7,-5,1.258298746,low,0.283997883,603,2.608,middle,high,TRUE,1.1,6.5,6,high,1.135015005,middle,-0.958756175,7,1.304584424
4,-0.2755,-1.055678142,2.8835,1_2,gaymarriage,middle,middle,-1.84,0.754688399,4.5,-5,1.258298746,low,-1.432611542,306,2.608,low,high,TRUE,1.36,6,5,middle,0.396440648,low,-2.91540143,7,-0.684468061
6.5,-0.2755,-0.404338263,2.8835,1_2,gaymarriage,middle,middle,-0.13,0.754688399,6,-5,1.258298746,middle,0.713150239,147,2.608,middle,high,FALSE,2.13,6,3.5,middle,-0.711420888,middle,0.271135128,7,0.50896343
7,-0.2755,0.619195833,2.8835,1_2,gaymarriage,high,middle,-0.68,1.493088559,6.5,-5,0.778946843,middle,1.142302595,407,2.608,high,middle,FALSE,3.34,7,3.5,middle,-0.711420888,middle,-0.753774291,6.5,0.906773927
7,-0.2755,1.930334552,2.8835,1_2,gaymarriage,high,middle,0,1.493088559,5.5,-5,-0.659108867,high,1.142302595,348,2.608,high,middle,TRUE,4.89,7,4,middle,-0.34213371,middle,0.513386446,5,0.111152933
5.5,-0.2755,0.111658265,2.8835,1_2,gaymarriage,middle,high,-0.19,-0.352911841,4,-5,-0.179756964,middle,-0.145154473,579,2.608,middle,middle,FALSE,2.74,4.5,6,low,1.135015005,middle,0.159326828,5.5,-1.082278558
5,-0.2755,2.023383106,2.8835,1_2,gaymarriage,middle,low,0,-0.722111921,7,-5,-0.179756964,high,-0.57430683,74,2.608,middle,middle,TRUE,5,4,1.5,high,-2.188569603,middle,0.513386446,5.5,1.304584424
5,0.622,0.691109965,3.4765,1_3,climatechange,middle,middle,1.03,0.385488319,6,4,-0.179756964,middle,-0.57430683,567,4.0985,middle,middle,TRUE,4.69,5.5,5.5,middle,0.765727826,middle,0.505065777,5.5,0.50896343
4.5,0.622,0.457429503,3.4765,1_3,climatechange,middle,middle,0.01,-0.352911841,4,4,-1.13846077,middle,-1.003459186,270,4.0985,low,low,FALSE,4.49,4.5,4.5,low,0.027153469,middle,-0.757598665,4.5,-1.082278558
2.5,0.622,-0.185191766,3.4765,1_3,climatechange,low,middle,0.07,-1.091312001,3.5,4,-1.13846077,middle,-2.720068611,96,4.0985,low,low,FALSE,3.94,3.5,5,low,0.396440648,middle,-0.683324286,4.5,-1.480089055
6,0.622,0.843002265,3.4765,1_3,climatechange,middle,middle,1.19,-0.722111921,5.5,4,-1.13846077,middle,0.283997883,84,4.0985,middle,low,TRUE,4.82,4,3.5,middle,-0.711420888,middle,0.703130787,4.5,0.111152933
4,0.622,0.305537203,3.4765,1_3,climatechange,middle,middle,-0.05,-0.722111921,5.5,4,1.258298746,middle,-1.432611542,490,4.0985,low,high,FALSE,4.36,4,3.5,middle,-0.711420888,middle,-0.831873044,7,0.111152933
7,0.622,-2.463576264,3.4765,1_3,climatechange,middle,middle,0.99,-0.722111921,7,4,1.258298746,low,1.142302595,93,4.0985,high,high,FALSE,1.99,4,5,high,0.396440648,middle,0.455549524,7,1.304584424
4,0.622,-0.325400043,3.4765,1_3,climatechange,middle,middle,0.36,0.385488319,4,4,-0.659108867,middle,-1.432611542,625,4.0985,low,middle,FALSE,3.82,5.5,4,low,-0.34213371,middle,-0.324331455,5,-1.082278558
6.5,0.622,0.013436627,3.4765,1_3,climatechange,low,low,0.97,-1.091312001,3.5,4,-0.659108867,middle,0.713150239,374,4.0985,middle,middle,FALSE,4.11,3.5,2,low,-1.819282424,middle,0.430791398,5,-1.480089055
7,0.622,-1.634010626,3.4765,1_3,climatechange,high,high,0.05,1.493088559,7,4,1.258298746,low,1.142302595,691,4.0985,high,high,FALSE,2.7,7,7,high,1.873589362,middle,-0.708082413,7,1.304584424
5,0.622,0.644373872,3.4765,1_3,climatechange,middle,low,0.01,0.754688399,5.5,4,-0.179756964,middle,-0.57430683,346,4.0985,middle,middle,TRUE,4.65,6,2,middle,-1.819282424,middle,-0.757598665,5.5,0.111152933
4,0.622,0.726162034,3.4765,1_3,climatechange,middle,middle,1.15,-0.352911841,5.5,4,-0.659108867,middle,-1.432611542,105,4.0985,low,middle,TRUE,4.72,4.5,4,middle,-0.34213371,middle,0.653614535,5,0.111152933
5.5,0.622,-1.143281657,3.4765,1_3,climatechange,middle,middle,0.39,0.385488319,6,4,0.299594939,low,-0.145154473,305,4.0985,middle,middle,FALSE,3.12,5.5,4.5,middle,0.027153469,middle,-0.287194265,6,0.50896343
7,0.622,-0.862865104,3.4765,1_3,climatechange,high,low,0.28,1.493088559,7,4,0.778946843,middle,1.142302595,161,4.0985,high,middle,FALSE,3.36,7,3,high,-1.080708067,middle,-0.42336396,6.5,1.304584424
6,0.622,0.656057895,3.4765,1_3,climatechange,high,high,2.25,1.123888479,7,4,1.258298746,middle,0.283997883,603,4.0985,middle,high,TRUE,4.66,6.5,6,high,1.135015005,high,2.015311482,7,1.304584424
4,0.622,1.018262611,3.4765,1_3,climatechange,middle,middle,0.02,0.754688399,4.5,4,1.258298746,high,-1.432611542,306,4.0985,low,high,TRUE,4.97,6,5,middle,0.396440648,middle,-0.745219602,7,-0.684468061
6.5,0.622,-0.138455673,3.4765,1_3,climatechange,middle,middle,0.6,0.754688399,6,4,1.258298746,middle,0.713150239,147,4.0985,middle,high,FALSE,3.98,6,3.5,middle,-0.711420888,middle,-0.027233939,7,0.50896343
7,0.622,0.878054334,3.4765,1_3,climatechange,high,middle,3.04,1.493088559,6.5,4,0.778946843,middle,1.142302595,407,4.0985,high,middle,TRUE,4.85,7,3.5,middle,-0.711420888,high,2.993257472,6.5,0.906773927
7,0.622,0.983210541,3.4765,1_3,climatechange,high,middle,0.01,1.493088559,5.5,4,-0.659108867,middle,1.142302595,348,4.0985,high,middle,TRUE,4.94,7,4,middle,-0.34213371,middle,-0.757598665,5,0.111152933
5.5,0.622,-1.517170396,3.4765,1_3,climatechange,middle,high,-0.09,-0.352911841,4,4,-0.179756964,low,-0.145154473,579,4.0985,middle,middle,FALSE,2.8,4.5,6,low,1.135015005,middle,-0.881389297,5.5,-1.082278558
5,0.622,1.05331468,3.4765,1_3,climatechange,middle,low,0.16,-0.722111921,7,4,-0.179756964,high,-0.57430683,74,4.0985,middle,middle,TRUE,5,4,1.5,high,-2.188569603,middle,-0.571912718,5.5,1.304584424
5,-0.0085,0.530626875,3.338,1_4,abortion,middle,middle,0.58,0.385488319,6,-4.4,-0.179756964,middle,-0.57430683,567,3.3295,middle,middle,FALSE,3.85,5.5,5.5,middle,0.765727826,high,1.473310623,5.5,0.50896343
4.5,-0.0085,-0.376689011,3.338,1_4,abortion,middle,middle,0,-0.352911841,4,-4.4,-1.13846077,middle,-1.003459186,270,3.3295,low,low,FALSE,2.96,4.5,4.5,low,0.027153469,middle,0.021279763,4.5,-1.082278558
2.5,-0.0085,0.408292149,3.338,1_4,abortion,low,middle,-0.02,-1.091312001,3.5,-4.4,-1.13846077,middle,-2.720068611,96,3.3295,low,low,FALSE,3.73,3.5,5,low,0.396440648,middle,-0.028790267,4.5,-1.480089055
6,-0.0085,-1.549063471,3.338,1_4,abortion,middle,middle,-0.5,-0.722111921,5.5,-4.4,-1.13846077,low,0.283997883,84,3.3295,middle,low,FALSE,1.81,4,3.5,middle,-0.711420888,low,-1.230470979,4.5,0.111152933
4,-0.0085,0.734518086,3.338,1_4,abortion,middle,middle,-0.24,-0.722111921,5.5,-4.4,1.258298746,middle,-1.432611542,490,3.3295,low,high,FALSE,4.05,4,3.5,middle,-0.711420888,middle,-0.579560593,7,0.111152933
7,-0.0085,1.703001335,3.338,1_4,abortion,middle,middle,0,-0.722111921,7,-4.4,1.258298746,high,1.142302595,93,3.3295,high,high,TRUE,5,4,5,high,0.396440648,middle,0.021279763,7,1.304584424
4,-0.0085,0.42868127,3.338,1_4,abortion,middle,middle,0.23,0.385488319,4,-4.4,-0.659108867,middle,-1.432611542,625,3.3295,low,middle,FALSE,3.75,5.5,4,low,-0.34213371,middle,0.597085104,5,-1.082278558
6.5,-0.0085,0.693739844,3.338,1_4,abortion,low,low,0.24,-1.091312001,3.5,-4.4,-0.659108867,middle,0.713150239,374,3.3295,middle,middle,FALSE,4.01,3.5,2,low,-1.819282424,middle,0.622120119,5,-1.480089055
7,-0.0085,-0.040268514,3.338,1_4,abortion,high,high,0.01,1.493088559,7,-4.4,1.258298746,middle,1.142302595,691,3.3295,high,high,FALSE,3.29,7,7,high,1.873589362,middle,0.046314777,7,1.304584424
